date,price
2025-06-02,2633.5
2025-06-03,2728.5
2025-06-04,2728
2025-06-05,2625.5
2025-06-06,2582.5
2025-06-09,2680
2025-06-10,2878.5
2025-06-11,2918.5
2025-06-12,2797
2025-06-13,2622
2025-06-16,2755.5
2025-06-17,2621
2025-06-18,2581.5
2025-06-20,2504
2025-06-23,2396
2025-06-24,2522.5
2025-06-25,2517
2025-06-26,2520.5
2025-06-27,2496.5
2025-06-30,2602.5
2025-07-01,2485.5
2025-07-02,2692.5
2025-07-03,2673.5
2025-07-07,2625.5
2025-07-08,2693.5
2025-07-09,2852.5
2025-07-10,2906.5
2025-07-11,3105
2025-07-14,3093
2025-07-15,3139
2025-07-16,3486.5
2025-07-17,3526.5
2025-07-18,3661
2025-07-21,3859
2025-07-22,3789.5
2025-07-23,3706
2025-07-24,3865.5
2025-07-25,3758
2025-07-28,3906
2025-07-29,3869.5
2025-07-30,3862
2025-07-31,3836.5
2025-08-01,3609.5
2025-08-04,3772
2025-08-05,3667
2025-08-06,3785.5
2025-08-07,3976
2025-08-08,4174.5
2025-08-11,4377.5
2025-08-12,4645.5
2025-08-13,4867.5
2025-08-14,4665.5
2025-08-15,4502.5
2025-08-18,4467.5
2025-08-19,4242.5
2025-08-20,4455
2025-08-21,4328.5
2025-08-22,4964.5
2025-08-25,4540
2025-08-26,4714
2025-08-27,4684
2025-08-28,4546
2025-08-29,4428
2025-09-02,4347
2025-09-03,4564.5
2025-09-04,4354.5
2025-09-05,4411
2025-09-08,4365
2025-09-09,4370
2025-09-10,4396.5
2025-09-11,4509
2025-09-12,4764.5
2025-09-15,4579.5
2025-09-16,4573.5
2025-09-17,4597.5
2025-09-18,4672.5
2025-09-19,4509.5
2025-09-22,4199.5
2025-09-23,4214
2025-09-24,4223
2025-09-25,3963
2025-09-26,4090
2025-09-29,4253
2025-09-30,4218.5
2025-10-01,4395
2025-10-02,4568
2025-10-03,4582.5
2025-10-06,4796.5
2025-10-07,4530
2025-10-08,4567.5
2025-10-09,4380
2025-10-10,4032
2025-10-13,4304
2025-10-14,4159
2025-10-15,4020
2025-10-16,3901.5
2025-10-17,3857.5
2025-10-20,4017
2025-10-21,4032
2025-10-22,3824
2025-10-23,3888.5
2025-10-24,3957
2025-10-27,4223
2025-10-28,4062
2025-10-29,3925.5
2025-10-30,3705
2025-10-31,3909.5
2025-11-03,3596
2025-11-04,3225.5
2025-11-05,3462.5
2025-11-06,3314
2025-11-07,3475.5
2025-11-10,3582
2025-11-11,3441
2025-11-12,3421
2025-11-13,3167.5
2025-11-14,3140
